time,open,high,low,price,vwap,volume,currency,log_return
2023-03-16,1656.38,1696.20,1639.00,1677.09,1658.92,33887.36316270,Ethereum,0.012425650425795572
2023-03-17,1677.14,1802.25,1667.00,1793.22,1737.04,47427.21947150,Ethereum,0.06695273781853948
2023-03-18,1793.30,1845.73,1750.00,1763.03,1802.70,60971.00028061,Ethereum,-0.016978966762355573
2023-03-19,1762.72,1845.47,1762.39,1785.14,1807.94,32397.63744922,Ethereum,0.012462923808383002
2023-03-20,1785.91,1807.29,1728.25,1735.84,1766.00,36928.28389372,Ethereum,-0.028005397436568703
2023-03-21,1735.83,1837.02,1723.44,1804.51,1783.49,36354.61774683,Ethereum,0.03879764069464983
2023-03-22,1804.17,1825.10,1713.49,1737.51,1775.45,47787.48187162,Ethereum,-0.03783603295072202
2023-03-23,1737.85,1858.45,1732.69,1816.15,1796.00,34753.38995301,Ethereum,0.04426582205099367
2023-03-24,1816.06,1821.66,1728.01,1751.48,1770.05,42727.05684018,Ethereum,-0.03625773108061483
2023-03-25,1751.67,1765.48,1715.04,1743.67,1741.49,16205.44082418,Ethereum,-0.004469057407406017
2023-03-26,1743.57,1801.26,1740.60,1775.66,1770.26,21463.39463503,Ethereum,0.01818009740238084
2023-03-27,1775.66,1781.47,1686.50,1715.42,1730.17,36764.97642313,Ethereum,-0.03451423620680828
2023-03-28,1715.39,1794.79,1697.53,1772.99,1748.62,36614.52496781,Ethereum,0.03300943832376384
2023-03-29,1772.99,1824.00,1772.99,1793.31,1800.75,47244.06707413,Ethereum,0.011395687350280558
2023-03-30,1793.10,1828.67,1762.80,1793.71,1794.51,27212.88950260,Ethereum,0.00022302635706412342
2023-03-31,1793.53,1846.56,1780.78,1821.86,1815.44,25129.01952690,Ethereum,0.015571856621083395
2023-04-01,1821.82,1841.75,1810.00,1821.06,1820.41,10257.26351981,Ethereum,-0.00043920811484202485
2023-04-02,1821.07,1824.00,1772.50,1795.01,1802.58,10157.40202498,Ethereum,-0.014408156176461927
2023-04-03,1795.23,1839.69,1763.00,1809.72,1801.56,35816.22066779,Ethereum,0.008161544223092022
2023-04-04,1810.75,1891.54,1802.99,1871.99,1855.89,46077.60630419,Ethereum,0.033829898982333774
2023-04-05,1872.00,1942.00,1865.04,1909.02,1906.89,29953.57099588,Ethereum,0.019587985217306106
2023-04-06,1908.95,1909.05,1854.11,1873.13,1877.50,19380.34244245,Ethereum,-0.01897919295686598
2023-04-07,1873.10,1883.11,1840.91,1864.43,1861.88,10718.56124814,Ethereum,-0.00465545206663656
2023-04-08,1864.62,1879.00,1848.00,1849.63,1864.83,7975.66702518,Ethereum,-0.007969757267027703
2023-04-09,1849.76,1874.20,1825.48,1859.61,1846.94,14975.79741797,Ethereum,0.005381169232805176
2023-04-10,1859.69,1920.00,1848.00,1911.15,1879.78,24886.60393224,Ethereum,0.02733836679299092
2023-04-11,1911.02,1938.33,1883.54,1891.99,1911.28,26083.45545985,Ethereum,-0.010075969909906014
2023-04-12,1891.44,1934.56,1855.00,1917.94,1896.89,30950.27346074,Ethereum,0.01362250818245258
2023-04-13,1918.45,2025.30,1902.00,2014.28,1980.94,44512.83399801,Ethereum,0.0490101180594437
2023-04-14,2014.23,2130.00,1967.21,2101.92,2096.05,58025.71468143,Ethereum,0.04258940129370811
2023-04-15,2101.92,2113.55,2072.84,2092.1,2098.07,13822.38730528,Ethereum,-0.004682866531595411
2023-04-16,2092.20,2141.07,2075.37,2119.97,2108.97,14143.70512817,Ethereum,0.013233591432933612
2023-04-17,2119.87,2121.59,2057.24,2076.45,2082.94,24263.06187965,Ethereum,-0.02074223282068273
2023-04-18,2075.43,2124.35,2049.48,2104.5,2093.39,21535.85699744,Ethereum,0.013418204408771754
2023-04-19,2104.51,2104.73,1923.95,1934.82,1996.89,45611.22137869,Ethereum,-0.08406361032948857
2023-04-20,1933.93,1983.22,1910.00,1943.63,1945.15,30689.04705161,Ethereum,0.004543059806236431
2023-04-21,1943.22,1956.74,1827.72,1849.26,1888.04,34113.93824725,Ethereum,-0.04977179963634247
